date,m1,m1_odds,m1_win,m2,m2_odds,m2_win,combined_odds,both_win,pnl,bankroll
2021-08-14 00:00:00,Chelsea vs Crystal Palace,1.25,True,Dortmund vs Ein Frankfurt,1.4,True,1.75,True,75.0,75.0
2021-08-21 00:00:00,Liverpool vs Burnley,1.18,True,Man City vs Norwich,1.08,True,1.274,True,27.44,102.44
2021-08-22 00:00:00,Napoli vs Venezia,1.22,True,Ath Madrid vs Elche,1.22,True,1.488,True,48.84,151.28
2021-08-28 00:00:00,Man City vs Arsenal,1.25,True,Atalanta vs Bologna,1.33,False,1.662,False,-100.0,51.28
2021-08-29 00:00:00,Tottenham vs Watford,1.36,True,Barcelona vs Getafe,1.4,True,1.904,True,90.4,141.68
2021-09-11 00:00:00,Paris SG vs Clermont,1.25,True,Chelsea vs Aston Villa,1.28,True,1.6,True,60.0,201.68
2021-09-18 00:00:00,Inter vs Bologna,1.36,True,Man City vs Southampton,1.12,False,1.523,False,-100.0,101.68
2021-09-19 00:00:00,Paris SG vs Lyon,1.3,True,Dortmund vs Union Berlin,1.36,True,1.768,True,76.8,178.48
2021-09-22 00:00:00,Lyon vs Troyes,1.4,True,Real Madrid vs Mallorca,1.22,True,1.708,True,70.8,249.28
2021-09-25 00:00:00,Man United vs Aston Villa,1.36,False,Lyon vs Lorient,1.33,False,1.809,False,-100.0,149.28
2021-09-26 00:00:00,Sassuolo vs Salernitana,1.4,True,Sociedad vs Elche,1.4,True,1.96,True,96.0,245.28
2021-10-02 00:00:00,Dortmund vs Augsburg,1.22,True,RB Leipzig vs Bochum,1.2,True,1.464,True,46.4,291.68
2021-10-03 00:00:00,Roma vs Empoli,1.4,True,Bayern Munich vs Ein Frankfurt,1.16,False,1.624,False,-100.0,191.68
2021-10-16 00:00:00,Sociedad vs Mallorca,1.4,True,Man City vs Burnley,1.12,True,1.568,True,56.8,248.48
2021-10-23 00:00:00,Bayern Munich vs Hoffenheim,1.14,True,RB Leipzig vs Greuther Furth,1.12,True,1.277,True,27.68,276.16
2021-10-30 00:00:00,Liverpool vs Brighton,1.22,False,Barcelona vs Alaves,1.28,False,1.562,False,-100.0,176.16
2021-10-31 00:00:00,Inter vs Udinese,1.36,True,M'gladbach vs Bochum,1.36,True,1.85,True,84.96,261.12
2021-11-06 00:00:00,Chelsea vs Burnley,1.25,False,Real Madrid vs Vallecano,1.33,True,1.662,False,-100.0,161.12
2021-11-07 00:00:00,Marseille vs Metz,1.4,False,Napoli vs Verona,1.36,False,1.904,False,-100.0,61.12
2021-11-20 00:00:00,Barcelona vs Espanol,1.36,True,Atalanta vs Spezia,1.25,True,1.7,True,70.0,131.12
